Date,Open,High,Low,Last,Volume,Turnover
2017-11-17,88.04,88.17,87.17,87.21,815085.0,71366736.39
2017-11-16,88.44,88.5,87.75,87.95,559474.0,49238881.24
2017-11-15,87.57,89.08,87.55,87.98,1223784.0,107854576.77
2017-11-14,87.67,88.27,87.41,87.84,1220232.0,107151518.92
2017-11-13,87.7,87.76,85.96,86.65,909205.0,76935731.55
2017-11-10,86.85,87.43,86.48,87.0,1140543.0,99186910.51
2017-11-09,88.52,88.6,86.67,86.91,1252692.0,109272999.07
2017-11-08,90.04,90.32,88.22,88.56,918914.0,81566022.26
2017-11-07,90.87,90.88,89.85,90.0,809526.0,73018364.39
2017-11-06,91.13,91.27,90.48,90.56,531089.0,48145274.11
2017-11-03,90.59,91.43,90.4,91.34,637357.0,58094582.92
2017-11-01,90.78,90.99,90.25,90.25,658135.0,59571929.6
2017-10-31,89.16,90.43,89.13,90.43,1038001.0,93421787.66
2017-10-30,90.3,90.35,88.53,88.75,1094889.0,97779430.12
2017-10-27,90.25,92.25,90.21,91.22,1436101.0,131102754.15
2017-10-26,88.0,89.9,87.89,89.84,1182638.0,105436492.82
2017-10-25,87.05,87.73,86.92,87.73,798801.0,69960730.52
2017-10-24,86.93,87.71,86.67,87.34,670671.0,58581272.69
2017-10-23,86.32,87.47,86.32,87.11,704570.0,61349858.13
2017-10-20,85.66,86.38,85.58,86.34,980212.0,84339317.6
2017-10-19,85.93,85.95,85.0,85.51,756798.0,64708724.46
2017-10-18,85.8,86.24,85.63,86.1,651781.0,56083384.82
2017-10-17,85.55,86.0,85.17,85.71,789674.0,67682465.73
2017-10-16,85.91,86.02,85.46,85.59,558969.0,47893461.81
2017-10-13,86.14,86.14,85.45,85.83,503969.0,43244542.93
2017-10-12,85.62,86.02,85.38,85.96,511561.0,43879313.19
2017-10-11,86.1,86.17,85.16,85.62,916948.0,78475515.49
2017-10-10,86.17,86.51,85.8,86.51,763143.0,65811208.18
2017-10-09,86.89,87.0,86.21,86.65,503690.0,43586884.79
2017-10-06,87.2,87.22,86.75,86.93,507520.0,44150472.46
2017-10-05,87.0,87.18,86.3,87.18,557768.0,48509116.03
2017-10-04,87.15,87.25,86.66,87.04,612377.0,53232206.28
2017-10-03,87.07,87.33,86.94,87.19,440405.0,38382595.21
2017-10-02,86.45,87.37,86.31,87.04,620694.0,53959820.98
2017-09-29,85.77,86.44,85.22,86.44,925905.0,79728868.34
2017-09-28,84.84,85.89,84.68,85.79,614398.0,52528087.7
2017-09-27,85.19,85.35,84.86,85.08,663047.0,56421060.0
2017-09-26,85.23,85.61,84.8,85.11,954986.0,81299494.39
2017-09-25,84.95,85.6,84.27,85.09,943205.0,80263994.36
2017-09-22,84.99,85.2,84.74,84.98,924805.0,78633158.61
2017-09-21,84.83,85.25,84.71,85.0,816448.0,69373025.46
2017-09-20,85.2,85.45,84.7,84.83,862968.0,73427738.23
2017-09-19,85.65,85.83,85.12,85.38,740067.0,63205745.03
2017-09-18,85.0,85.74,84.85,85.7,1446409.0,123401399.38
2017-09-15,85.2,85.56,84.61,85.0,2393720.0,203703647.2
2017-09-14,83.65,85.02,83.58,85.01,1007417.0,85285120.06
2017-09-13,83.68,84.11,83.45,83.7,815776.0,68292946.99
2017-09-12,83.36,83.91,83.01,83.65,717268.0,59945154.93
2017-09-11,81.82,83.08,81.69,83.08,901604.0,74635474.64
2017-09-08,81.88,81.88,80.72,81.36,763123.0,61906578.14
2017-09-07,81.46,82.47,81.24,81.95,1047067.0,85799094.9
2017-09-06,81.41,81.62,80.85,81.25,636264.0,51737923.18
2017-09-05,81.79,81.94,81.25,81.58,667113.0,54431626.25
2017-09-04,82.14,82.17,81.57,81.63,503548.0,41156940.62
2017-09-01,82.65,82.95,82.07,82.24,743594.0,61311523.26
2017-08-31,81.6,82.19,81.52,81.59,905650.0,73999187.65
2017-08-30,80.81,81.61,80.79,81.52,628526.0,51106161.28
2017-08-29,82.0,82.06,80.36,80.45,1073169.0,86617324.81
2017-08-28,83.29,83.29,82.3,82.3,384164.0,31725114.05
2017-08-25,83.58,84.27,83.26,83.45,579840.0,48508209.41
2017-08-24,83.85,83.85,83.03,83.35,542281.0,45233089.18
2017-08-23,83.71,84.03,83.33,83.43,645550.0,53998315.83
2017-08-22,82.88,83.79,82.69,83.74,724922.0,60452963.54
2017-08-21,82.95,83.15,82.09,82.78,589329.0,48700286.86
2017-08-18,83.6,83.63,82.42,82.99,867369.0,71892457.09
2017-08-17,83.2,84.09,83.2,83.65,985016.0,82397669.38
2017-08-16,82.33,83.74,82.27,83.27,734498.0,61118332.19
2017-08-15,82.22,82.76,81.43,82.09,588347.0,48290312.08
2017-08-14,80.44,82.01,80.38,81.85,587591.0,47901081.56
2017-08-11,81.13,81.13,79.67,80.24,853042.0,68467430.73
2017-08-10,81.46,81.76,80.99,81.25,762014.0,61953095.41
2017-08-09,81.73,81.73,80.35,81.42,921348.0,74778807.7
2017-08-08,81.86,81.98,81.09,81.63,598950.0,48852440.0
2017-08-07,81.84,82.35,81.68,81.75,924635.0,75734956.79
2017-08-04,79.57,81.88,79.2,81.77,1041586.0,84322312.46
